text;amount
Ищу квартиру для семьи из четырех человек на длительный срок;4
Нужна студия для проживания одного человека рядом с метро;1
Требуется двухкомнатная квартира для молодой пары;2
Снимем жилье для троих студентов на учебный год;3
Семья с двумя детьми ищет просторную квартиру;4
Однокомнатная квартира для одного командировочного;1
Ищем жилье для пятерых коллег на время проекта;5
Молодая семья с новорожденным ребенком ищет квартиру;3
Нужна квартира для троих — я и двое друзей;3
Семья из шести человек переезжает, нужен большой дом;6
Снимаю квартиру для себя на полгода;1
Ищем двушку для двоих студентов;2
Семья с тремя детьми ищет просторное жилье;5
Нужна квартира для пары с собакой;2
Четыре подруги ищут квартиру на лето;4
