count_adults,count_children,start_date,nights,price_per_day,remarks,text,amount_true,total_people
4,0,,,,,Ищу квартиру для семьи из четырех человек на длительный срок,4,4
1,0,,,,рядом с метро,Нужна студия для проживания одного человека рядом с метро,1,1
2,0,,,,двухкомнатная квартира,Требуется двухкомнатная квартира для молодой пары,2,2
3,0,01.09,200.0,,,Снимем жилье для троих студентов на учебный год,3,3
2,2,,,,просторная квартира,Семья с двумя детьми ищет просторную квартиру,4,4
1,0,,,,однокомнатная квартира,Однокомнатная квартира для одного командировочного,1,1
5,0,,,,для пятерых коллег на время проекта,Ищем жилье для пятерых коллег на время проекта,5,5
2,1,,,,с новорожденным ребенком,Молодая семья с новорожденным ребенком ищет квартиру,3,3
3,0,,,,,Нужна квартира для троих — я и двое друзей,3,3
6,0,,,,нужен большой дом,"Семья из шести человек переезжает, нужен большой дом",6,6
1,0,,183.0,,,Снимаю квартиру для себя на полгода,1,1
2,0,,,,двушка для двоих студентов,Ищем двушку для двоих студентов,2,2
2,3,,,,просторное жилье,Семья с тремя детьми ищет просторное жилье,5,5
2,0,,,,с собакой,Нужна квартира для пары с собакой,2,2
4,0,,,,лето,Четыре подруги ищут квартиру на лето,4,4
